Month	Day	Year	TAVG (F)	Precipitation (in)	Avg Rel Hum (%)	TMAX (F)	TMIN (F)	WINDVEL (m/sec)	Min Rel Hum (%)	Sunshine
1	1	1999	9.5	0.01	64.5	20	-1	4.07	44	-99999
1	2	1999	15	0.5	81	19	11	9.57	70	-99999
1	3	1999	10	0.02	75	15	5	5.32	66	-99999
1	4	1999	-2.5	0	64	6	-11	2.95	54	-99999
1	5	1999	-5.5	0.02	72.5	9	-20	3.49	63	-99999
1	6	1999	2	0.02	66	11	-7	3.62	36	-99999
1	7	1999	-4	0	58	5	-13	1.97	42	-99999
1	8	1999	6	0.07	72.5	10	2	2.46	57	-99999
1	9	1999	-0.5	0.003	66.5	7	-8	2.86	51	-99999
1	10	1999	-0.5	0.02	66	6	-7	4.11	52	-99999
1	11	1999	-0.5	0.01	75	7	-8	2.95	67	-99999
1	12	1999	7	0.09	76.5	9	5	5.54	69	-99999
1	13	1999	5	0.003	75.5	11	-1	6.08	68	-99999
1	14	1999	11.5	0.03	79	17	6	2.86	70	-99999
1	15	1999	19.5	0.003	90	27	12	4.2	84	-99999
1	16	1999	31.5	0	66.5	44	19	3.13	37	-99999
1	17	1999	23.5	0.4	84	36	11	2.82	76	-99999
1	18	1999	27	0.01	78.5	36	18	5.36	65	-99999
1	19	1999	22.5	0	54	32	13	1.79	28	-99999
1	20	1999	21.5	0.003	86.5	33	10	2.01	77	-99999
1	21	1999	28.5	0.27	92.5	34	23	6.12	85	-99999
1	22	1999	34	0.21	96	36	32	5.95	92	-99999
1	23	1999	31	0.3	87.5	33	29	3.93	79	-99999
1	24	1999	28	0.11	88.5	32	24	1.65	81	-99999
1	25	1999	19.5	0.003	82	29	10	2.82	75	-99999
1	26	1999	22.5	0	72.5	34	11	3.35	60	-99999
1	27	1999	36	0.01	84.5	41	31	3.93	76	-99999
1	28	1999	30	0	75.5	32	28	3.08	66	-99999
1	29	1999	25	0	82.5	31	19	1.56	69	-99999
1	30	1999	26.5	0	80	39	14	2.19	64	-99999
1	31	1999	30.5	0.003	79.5	36	25	4.6	67	-99999
2	1	1999	34.5	0.01	92.5	37	32	2.82	85	-99999
2	2	1999	37	0.04	65	40	34	3.8	30	-99999
2	3	1999	38.5	0.003	67.5	42	35	5.5	53	-99999
2	4	1999	26	0	62	37	15	4.16	44	-99999
2	5	1999	28.5	0.03	76	37	20	4.74	60	-99999
2	6	1999	33	0	68.5	40	26	2.73	48	-99999
2	7	1999	29.5	0.003	81	33	26	3.08	70	-99999
2	8	1999	34	0.003	91	42	26	4.07	85	-99999
2	9	1999	39	0	56.5	49	29	2.82	31	-99999
2	10	1999	39.5	0.003	67.5	51	28	5.23	43	-99999
2	11	1999	42	0.51	71.5	61	23	6.3	46	-99999
2	12	1999	17.5	0.02	63	23	12	6.21	45	-99999
2	13	1999	24	0	52	33	15	3.22	32	-99999
2	14	1999	33	0	60.5	46	20	4.83	40	-99999
