#
# Table 4: Values of unadjusted daily potential evapotranspiration (mm) for different mean temperatures (degrees C) and I values
#
# This table based on Sellinger, C.E., 1996, Computer program for estimating evapotranspiration using the Thornthwaite method: National Oceanic and Atmospheric
#                     Administration Technical Memorandum ERL GLERL-101, 9p.
#                     accessed at ftp://ftp.glerl.noaa.gov/publications/tech_reports/glerl-101/tm-101.pdf
#
# Original table is in Thornthwaite, C.W. and Mather, J.R., 1957, Instructions and Tables for Computing Potential Evapotranspiration
#                      and the Water Balance: Publications in Climatology, v. 10, no. 3, p. 1–104.
#
Temp_degC    I25.00   I27.50   I30.00   I32.50   I35.00   I37.50   I40.00   I42.50   I45.00   I47.50   I50.00   I52.50   I55.00   I57.50   I60.00   I62.50   I65.00   I67.50   I70.00   I72.50   I75.10   I77.50   I80.00   I82.50   I85.00   I87.50   I90.00   I92.50   I95.00   I97.50  I100.00  I102.50  I105.00  I107.50  I110.00  I112.50  I115.00  I117.50  I120.00  I122.50  I125.00  I127.50  I130.00  I132.50  I135.00  I137.50  I140.00
   3.25      0.70    0.70    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   3.50      0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   3.75      0.80    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   4.00      0.80    0.80    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   4.25      0.90    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   4.50      0.90    0.90    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   4.75      1.00    0.90    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   5.00      1.00    1.00    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   5.25      1.10    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   5.50      1.10    1.10    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00
   5.75      1.20    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00
   6.00      1.20    1.20    1.10    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00
   6.25      1.20    1.20    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00
   6.50      1.30    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00
   6.75      1.30    1.30    1.20    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00
   7.00      1.40    1.30    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00
   7.25      1.40    1.40    1.30    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10
   7.50      1.50    1.40    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10
   7.75      1.50    1.40    1.40    1.30    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10
   8.00      1.60    1.50    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10
   8.25      1.60    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.10    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10
   8.50      1.60    1.60    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10
   8.75      1.70    1.60    1.50    1.50    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.70    0.50    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10
   9.00      1.70    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10
   9.25      1.70    1.70    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10
   9.50      1.80    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10
   9.75      1.80    1.80    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20
  10.00      1.90    1.80    1.70    1.70    1.60    1.60    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20
  10.25      1.90    1.90    1.80    1.70    1.70    1.60    1.50    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20
  10.50      2.00    1.90    1.80    1.80    1.70    1.70    1.60    1.50    1.50    1.40    1.40    1.40    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20
  10.75      2.00    2.00    1.90    1.80    1.80    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20
  11.00      2.10    2.00    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.30    1.20    1.10    1.10    1.00    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.20    0.20
  11.25      2.10    2.00    1.90    1.90    1.80    1.80    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.30    1.30    1.30    1.20    1.20    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30
  11.50      2.10    2.10    2.00    1.90    1.90    1.80    1.70    1.70    1.60    1.60    1.60    1.50    1.40    1.40    1.30    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.40    0.40    0.40    0.40    0.30    0.30    0.30    0.30
  11.75      2.20    2.10    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.10    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.00    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40    0.40    0.40    0.30    0.30    0.30
  12.00      2.20    2.20    2.10    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.50    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30
  12.25      2.30    2.20    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.40    1.30    1.20    1.20    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50    0.50    0.40    0.40    0.30    0.30
  12.50      2.30    2.30    2.20    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.80    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.50    0.50    0.50    0.50    0.50    0.40    0.40    0.40
  12.75      2.30    2.30    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60    0.60    0.60    0.50    0.50    0.40    0.40    0.40
  13.00      2.40    2.30    2.30    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.90    1.80    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.50    1.30    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.60    0.50    0.50    0.40    0.40
  13.25      2.40    2.40    2.30    2.20    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.90    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.60    0.60    0.50    0.50    0.50
  13.50      2.50    2.40    2.30    2.30    2.20    2.20    2.10    2.10    2.00    2.00    2.00    1.90    1.80    1.80    1.70    1.70    1.60    1.60    1.60    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50    0.50
  13.75      2.50    2.40    2.40    2.30    2.30    2.20    2.10    2.10    2.00    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.60    0.60    0.50    0.50
  14.00      2.50    2.50    2.40    2.30    2.30    2.20    2.20    2.20    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.10    1.00    1.00    1.00    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.70    0.60    0.60    0.50    0.50
  14.25      2.60    2.50    2.40    2.40    2.30    2.30    2.20    2.20    2.10    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.70    1.70    1.70    1.70    1.60    1.50    1.50    1.50    1.40    1.30    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.70    0.60    0.50    0.50
  14.50      2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.30    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.80    1.80    1.80    1.70    1.70    1.60    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.20    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60    0.60
  14.75      2.70    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.20    2.20    2.10    2.10    2.00    2.00    1.90    1.80    1.80    1.80    1.70    1.70    1.60    1.60    1.60    1.50    1.40    1.40    1.30    1.30    1.30    1.30    1.20    1.10    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80    0.80    0.70    0.70    0.60    0.60
  15.00      2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.30    1.20    1.10    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70    0.10
  15.25      2.80    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.30    2.20    2.20    2.10    2.10    2.00    1.90    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.40    1.30    1.20    1.20    1.20    1.20    1.10    1.10    1.00    1.00    0.90    0.90    0.90    0.80    0.80    0.70    0.70
  15.50      2.80    2.70    2.00    7.00    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.10    2.10    2.00    2.00    1.90    1.90    1.90    1.80    1.80    1.80    1.70    1.70    1.60    1.60    1.60    1.50    1.50    1.40    1.40    1.30    1.30    1.30    1.20    1.20    1.10    1.10    1.00    1.00    1.00    0.90    0.90    0.80    0.80    0.80
  15.75      2.90    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.40    2.30    2.30    2.20    2.20    2.10    2.00    2.00    2.00    1.90    1.90    1.80    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.30    1.30    1.30    1.30    1.20    1.10    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.80    0.80
  16.00      2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.20    2.10    2.10    2.00    2.00    2.00    2.00    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.40    1.40    1.40    1.30    1.30    1.20    1.20    1.10    1.10    1.10    1.00    1.00    0.90    0.90    0.90
  16.25      2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.40    2.40    2.40    2.30    2.20    2.20    2.10    2.10    2.00    2.00    2.00    2.00    1.90    1.90    1.90    1.80    1.80    1.80    1.70    1.70    1.60    1.60    1.50    1.40    1.40    1.40    1.40    1.30    1.20    1.20    1.20    1.10    1.10    1.10    1.00    1.00    0.90    0.90
  16.50      3.00    2.90    2.80    2.80    2.70    2.70    2.60    2.60    2.50    2.50    2.50    2.40    2.40    2.30    2.30    2.20    2.10    2.10    2.10    2.00    2.00    1.90    1.90    1.90    1.90    1.80    1.80    1.70    1.70    1.70    1.60    1.60    1.50    1.50    1.50    1.40    1.40    1.30    1.20    1.20    1.20    1.10    1.10    1.10    1.00    0.90    0.90
