Month	Day	Year	TAVG (F)	Precipitation (in)	Avg Rel Hum (%)	TMAX (F)	TMIN (F)	WINDVEL (m/sec)	Min Rel Hum (%)	Sunshine
1	1	1996	29.5	0.02	86.5	34	25	4.38	81	0
1	2	1996	17	0.003	71	25	9	7.69	61	78
1	3	1996	10.5	0.003	73	20	1	1.61	59	90
1	4	1996	7.5	0.003	76	19	-4	2.59	65	55
1	5	1996	2.5	0	74.5	12	-7	1.61	58	37
1	6	1996	1.5	0.02	74.5	13	-10	3.4	66	56
1	7	1996	5	0.003	71	14	-4	3.8	59	97
1	8	1996	12	0	66	24	0	4.56	57	49
1	9	1996	21.5	0.003	78	30	13	5.41	68	13
1	10	1996	10	0.003	73.5	23	-3	2.82	60	20
1	11	1996	26	0.15	87	29	23	3.67	82	0
1	12	1996	27.5	0.003	88.5	32	23	4.16	85	0
1	13	1996	31.5	0	79.5	44	19	2.1	63	66
1	14	1996	27.5	0	80.5	36	19	4.83	65	29
1	15	1996	14.5	0.003	64.5	22	7	4.29	51	37
1	16	1996	29.5	0.003	82.5	39	20	6.21	73	0
1	17	1996	34	0.11	93	47	21	4.29	86	0
1	18	1996	31	0.8	83.5	54	8	7.78	71	0
1	19	1996	4	0.003	61.5	8	0	5.86	54	85
1	20	1996	8.5	0	65.5	18	-1	2.24	47	40
1	21	1996	20.5	0.003	81.5	30	11	6.21	75	19
1	22	1996	30	0	72.5	37	23	4.83	63	19
1	23	1996	19.5	0.32	76.5	23	16	6.75	65	0
1	24	1996	5	0.003	63	16	-6	4.92	42	83
1	25	1996	4	0.04	74	18	-10	3.67	64	0
1	26	1996	21.5	0.99	90	32	11	8.27	84	0
1	27	1996	12	0.01	65.5	22	2	7.96	43	89
1	28	1996	10	0.01	71	28	-8	4.52	62	4
1	29	1996	13.5	0.06	72	29	-2	8.81	52	87
1	30	1996	-6	0	50.5	1	-13	4.83	37	60
1	31	1996	-10.5	0	57.5	0	-21	3.98	46	92
2	1	1996	-8.5	0	58	-1	-16	4.16	45	100
2	2	1996	-19	0.003	55	-14	-24	3.8	41	98
2	3	1996	-19.5	0	54.5	-10	-29	3.44	41	100
